,206,true
bora,27,false
yang,13,true
pipin,12,false
hutan,11,true
di,10,true
itu,9,true
dari,8,true
dengan,7,true
ke,7,true
tidak,7,true
ibu,7,true
belalainya,6,false
mereka,5,true
dan,5,true
sambil,5,true
terbakar,5,true
pergi,5,true
sarangnya,5,false
sudah,5,true
sedang,4,true
ia,4,true
menarik,4,true
belalai,4,false
ibunya,4,true
kembali,4,true
bunyi,3,true
tempat,3,true
gajah,3,false
memekik,3,false
nyaring,3,true
semua,3,true
asap,3,true
ini,3,true
cepat,3,true
berteriak,3,true
berada,3,true
aku,3,true
lampung,2,false
untuk,2,true
sungai,2,true
kali,2,true
lainnya,2,true
tinggal,2,true
bersama,2,true
sampai,2,true
bising,2,false
sekali,2,true
langit,2,true
hitam,2,true
tebal,2,true
terus,2,true
tahu,2,true
selalu,2,true
kemudian,2,true
saat,2,true
tiba-tiba,2,true
saja,2,true
datang,2,true
apa,2,true
menjadi,2,true
hewan,2,true
mulai,2,true
panas,2,true
sosok,2,true
mana,2,true
ibumu,2,false
bisa,2,true
harus,2,true
sarang,2,true
lalu,2,true
sekuat,2,true
dekat,2,true
langsung,2,true
payah,2,true
api,2,true
pohon,2,true
teriak,2,false
mau,2,true
keras,2,true
ayo,2,true
lagi,2,true
hijau,2,true
matahari,1,true
bersinar,1,false
terik,1,false
sinarnya,1,false
terhalang,1,true
rimbunnya,1,false
pepohonan,1,false
sehingga,1,true
hanya,1,true
menyisakan,1,false
berkas,1,false
tipis,1,true
burung-burung,1,true
berkicau,1,false
seolah,1,true
menyanyikan,1,true
lagu,1,true
alam,1,true
riak,1,false
jernih,1,true
beradu,1,true
batu,1,true
berpadu,1,false
sahutan,1,false
beberapa,1,true
penghuni,1,true
ya,1,true
inilah,1,true
si,1,true
anak,1,true
sekarang,1,true
tengah,1,true
asyik,1,true
bermain,1,true
teman-temannya,1,false
sebuah,1,true
ketika,1,true
menyemprotkan,1,true
air,1,true
arah,1,true
dodoanak,1,false
lainnyadengan,1,false
pun,1,true
akhirnya,1,true
kegembiraan,1,false
terpecah,1,false
oleh,1,true
sebelah,1,true
utara,1,true
bercampur,1,true
deru,1,false
sesuatu,1,true
sama,1,true
kenal,1,true
hei,1,false
lihat,1,true
serentak,1,true
menghentikan,1,true
kegiatan,1,true
menengok,1,false
ditunjuk,1,false
dodo,1,false
membumbung,1,false
tinggi,1,true
sana,1,true
semakin,1,true
menebal,1,false
merupakan,1,true
fenomena,1,true
aneh,1,true
baru,1,true
pertama,1,true
saksikan,1,true
selama,1,true
berwarna,1,true
biru,1,true
cerah,1,true
awan,1,true
putih,1,true
berarakan,1,false
keheningan,1,false
pecah,1,true
teo,1,false
ikut,1,true
ketakutan,1,true
kau,1,true
lakukan,1,true
suasana,1,true
tadinya,1,false
damai,1,true
tenteram,1,true
seketika,1,true
neraka,1,true
bagi,1,true
pekat,1,false
menyelimuti,1,false
seluruh,1,true
suhu,1,true
udara,1,true
membuat,1,true
para,1,true
makin,1,true
panik,1,true
bukan,1,true
main,1,true
mengikuti,1,true
langkah,1,true
matanya,1,true
bergerak,1,true
sana-ke,1,false
mari,1,false
mencari,1,true
ibuku,1,true
tanya,1,true
i-ibu,1,false
menjawab,1,true
karena,1,true
sama-sama,1,true
melepaskan,1,true
berbalik,1,true
namun,1,true
sebelum,1,true
melancarkan,1,false
niatnya,1,false
pasti,1,true
depan,1,true
dewasa,1,true
menghiraukan,1,false
ucapan,1,true
meloloskan,1,false
berlari,1,true
mungkin,1,true
menuju,1,true
belakangnya,1,true
napas,1,true
terengah,1,false
membelalakkan,1,false
mata,1,true
begitu,1,true
melihat,1,true
bersusah,1,true
keluar,1,true
menjalar,1,true
setiap,1,true
tenaga,1,true
kamu,1,true
sini,1,true
menggerakkan,1,false
menyuruh,1,true
menjauh,1,true
balas,1,true
kepala,1,true
kenapa,1,true
masih,1,true
berkata,1,true
seperti,1,true
padahal,1,true
jelas-jelas,1,true
dalam,1,true
keadaan,1,true
terjebak,1,true
tempatnya,1,false
menyentak,1,false
akan,1,true
menyelamatkanmu,1,false
jangan,1,true
bentak,1,false
kraaak,1,false
braaak,1,false
meraung,1,false
memanggil,1,true
jatuh,1,true
menimpa,1,false
tubuh,1,true
kita,1,true
lirih,1,false
menoleh,1,true
belakang,1,true
dirinya,1,true
cukup,1,true
jauh,1,true
ada,1,true
tumbuhan,1,false
rindang,1,true
sekitarnya,1,true
kagumi,1,false
berubah,1,true
merah,1,true
sangat,1,true
