,5010,true
yang,4688,true
dan,3672,true
di,2848,true
itu,1954,true
aku,1596,true
dengan,1559,true
tak,1431,true
ia,1277,true
ini,1211,true
kami,1163,true
dari,907,true
pada,890,true
dalam,855,true
ke,820,true
untuk,794,true
mereka,757,true
seperti,751,true
tidak,733,true
karena,684,true
adalah,597,true
orang,533,true
ada,520,true
sebuah,491,true
tapi,478,true
akan,474,true
menjadi,468,true
telah,444,true
sudah,399,true
tahun,397,true
oleh,393,true
sangat,392,true
indonesia,379,true
juga,372,true
hanya,351,true
belanda,335,true
mahar,335,true
bisa,333,true
seorang,324,true
sekolah,312,true
saja,310,true
lalu,302,true
ketika,298,true
para,297,true
apa,296,true
sebagai,294,true
pun,293,true
lagi,289,true
dia,287,true
jika,285,true
saat,285,true
pernah,281,true
atau,278,true
lebih,274,true
setelah,270,true
hari,264,true
lintang,258,true
bahwa,257,true
besar,256,true
satu,253,true
namun,253,true
tersebut,250,true
beberapa,248,true
sekali,248,true
maka,246,true
sampai,233,true
masih,232,true
melihat,226,true
sama,223,true
baru,219,true
sendiri,217,true
tahu,215,true
tempat,215,true
kembali,207,true
kecil,206,true
lain,203,true
beliau,202,true
mulai,202,true
semakin,196,true
a,196,true
ingin,195,true
dapat,195,true
anak,194,true
semua,193,true
tanpa,192,true
atas,192,true
kali,192,true
pak,186,true
bu,185,true
rumah,185,true
paling,183,true
setiap,182,true
kemudian,182,true
dua,181,true
kamu,178,true
sedang,178,true
air,177,true
mungkin,177,true
banyak,175,true
sekarang,173,true
harus,172,true
saya,168,true
suara,167,true
bukan,167,true
sehingga,166,true
seluruh,165,true
membuat,165,true
kelas,162,true
tangan,161,true
sambil,161,true
pulau,158,true
memiliki,158,true
secara,158,true
orang-orang,157,true
kita,157,true
yaitu,155,true
waktu,153,true
begitu,153,true
selalu,153,true
duduk,152,true
bahkan,152,true
mama,148,true
antara,148,true
tinggi,147,true
mus,145,true
mata,145,true
ya,145,true
diri,144,true
memang,144,true
buku,143,true
flo,140,true
tadi,139,true
merasa,139,true
belitong,138,true
tiga,136,true
kalau,136,true
pertama,134,true
depan,134,true
sedikit,133,true
wilayah,132,true
mau,130,true
hingga,128,true
tengah,128,true
tampak,127,true
jauh,127,true
pasukan,124,true
pria,124,true
kepada,124,true
sana,124,true
kota,122,true
ibu,121,true
salah,120,true
masuk,120,true
lama,120,true
selama,120,true
hidup,119,true
langsung,119,true
kata,118,true
wajah,118,true
gadis,117,true
hati,117,true
bawah,116,true
bagi,116,true
luar,115,true
gue,114,true
demikian,114,true
hal,114,true
jalan,113,true
biasa,112,true
belum,112,true
tanggal,111,true
panjang,111,true
berdiri,111,true
tentang,110,true
trevor,109,true
dunia,109,true
pn,109,true
mana,108,true
nama,107,true
negara,107,true
matanya,107,true
tersenyum,106,true
kau,106,true
segera,105,true
wajahnya,105,true
melayu,105,true
kedua,105,true
syahdan,104,true
sering,104,true
berada,104,true
kepala,103,true
melakukan,102,true
pohon,102,true
agar,101,true
suatu,101,true
akhirnya,101,true
aila,100,true
serta,100,true
bulan,100,true
kampung,98,true
jawa,98,true
malam,98,true
masa,98,true
pintu,96,true
sejak,96,true
wanita,96,true
penuh,95,true
muhammadiyah,95,true
muda,95,true
bahasa,94,true
hujan,93,true
mampu,93,true
cinta,93,true
dulu,93,true
manusia,92,true
sementara,92,true
tuk,91,true
merupakan,91,true
hindia,90,true
gunung,90,true
mendengar,90,true
bagian,89,true
sang,88,true
itulah,88,true
guru,88,true
kiong,88,true
pulang,87,true
lagu,87,true
tiba-tiba,87,true
pagi,86,true
hampir,86,true
melalui,86,true
tentu,86,true
punya,86,true
berusaha,85,true
amat,85,true
rasa,85,true
dirinya,84,true
pasti,84,true
keras,84,true
pergi,84,true
tetap,83,true
arah,83,true
hitam,83,true
meskipun,82,true
laut,82,true
laki-laki,82,true
keluar,82,true
menarik,82,true
islam,81,true
sepanjang,81,true
barat,81,true
lainnya,81,true
mengambil,80,true
terjadi,80,true
putih,80,true
cukup,80,true
menuju,79,true
timah,78,true
nanti,78,true
baik,78,true
sungai,78,true
sebagian,77,true
sahara,77,true
terus,77,true
ruangan,76,true
sekitar,76,true
bagaimana,76,true
sini,76,true
buah,75,true
diam,75,true
aneh,75,true
datang,75,true
bunga,74,true
semacam,74,true
ternyata,74,true
jadi,74,true
utama,73,true
mendapat,73,true
terlihat,73,true
negeri,73,true
berhasil,72,true
angin,72,true
siapa,72,true
sesuatu,72,true
pemerintah,71,true
tanya,71,true
dekat,71,true
cepat,71,true
hutan,71,true
membawa,70,true
tanah,70,true
burung,70,true
membaca,70,true
bersama,70,true
sepeda,69,true
daerah,69,true
belakang,69,true
merah,69,true
inilah,69,true
kini,68,true
jelas,68,true
pelajaran,68,true
lima,68,true
nusantara,67,true
berjalan,67,true
demi,67,true
anggota,67,true
tinggal,67,true
sigit,66,true
menemukan,66,true
kucai,66,true
membuka,66,true
uang,66,true
sebelum,66,true
perasaan,65,true
gua,65,true
seni,65,true
sakit,65,true
tua,65,true
seolah,65,true
penduduk,64,true
senang,64,true
pula,64,true
aceh,63,true
film,63,true
seseorang,63,true
anak-anak,63,true
makan,63,true
berwarna,63,true
trapani,62,true
kaki,62,true
lu,62,true
evha,61,true
sumatra,61,true
memberi,61,true
daya,61,true
empat,61,true
jam,61,true
si,61,true
kenapa,61,true
kan,60,true
menunggu,60,true
ling,60,true
meja,60,true
berbagai,60,true
mamat,59,true
tetapi,59,true
pendidikan,59,true
gelap,59,true
cara,59,true
toko,58,true
penonton,58,true
bayan,58,true
sebenarnya,58,true
terhadap,57,true
mati,57,true
indah,57,true
kertas,57,true
tuhan,57,true
apakah,57,true
batu,57,true
jatuh,57,true
langit,57,true
kiki,56,true
bapak,56,true
berhenti,56,true
membentuk,56,true
cerita,56,true
sore,56,true
puluhan,56,true
setengah,56,true
terlalu,56,true
gak,56,true
mencari,56,true
ardan,55,true
lily,55,true
kerajaan,55,true
melawan,55,true
terdengar,55,true
disebut,55,true
keluarga,55,true
organisasi,54,true
jangan,54,true
ibunya,54,true
bora,54,false
knil,53,true
encer,53,true
artikel,53,true
jawab,53,true
terasa,53,true
terakhir,53,true
tangannya,53,true
meninggalkan,53,true
turun,53,true
belajar,53,true
tula,53,true
tepat,53,true
timur,52,true
luas,52,true
cantik,52,true
ilmu,52,true
harfan,52,true
kapur,52,true
tidur,52,true
selatan,52,true
selain,52,true
semuanya,52,true
kurang,52,true
kerja,52,true
ikut,52,true
bangsa,51,true
perang,51,true
bulu,51,true
menerima,51,true
raya,51,true
kolonial,50,true
benar-benar,50,true
suku,50,true
balik,50,true
jiwa,50,true
puluh,50,true
percaya,50,true
pencuri,50,true
jakarta,50,true
biru,50,true
sempat,49,true
puncak,49,true
perahu,49,true
laksana,49,true
menatap,49,true
kamar,49,true
penting,49,true
ke-,48,true
musik,48,true
sekaligus,48,true
tubuhnya,48,true
harun,48,true
hebat,48,true
mas,48,true
kulihat,47,true
bekerja,47,true
musim,47,true
bola,47,true
rendah,47,true
termasuk,47,true
berani,47,true
berlari,47,true
tubuh,47,true
nasional,46,true
kaum,46,true
tiba,46,true
selesai,46,true
sebaliknya,46,true
pemandangan,46,true
persis,46,true
pasar,46,true
meter,46,true
rasanya,46,true
aja,46,true
utara,46,true
alam,46,true
membuatku,45,true
berat,45,true
saling,45,true
rencana,45,true
tenang,45,true
sedangkan,45,true
lelaki,45,true
asing,44,true
benda,44,true
satu-satunya,44,true
surat,44,true
kata-kata,44,true
iya,44,true
abad,43,true
menangis,43,true
kelompok,43,true
mengeluarkan,43,true
namanya,43,true
kuat,43,true
pandangan,43,true
semangat,43,true
berbeda,43,true
societeit,43,true
sih,42,true
pemberontakan,42,true
dingin,42,true
menunjukkan,42,true
kaca,42,true
dasar,42,true
ketua,42,true
kasih,42,true
udah,42,true
agama,41,true
awal,41,true
mencoba,41,true
ah,41,true
senyum,41,true
tingkat,41,true
muncul,41,true
bicara,41,true
pesan,41,true
jendela,41,true
walaupun,41,true
nggak,41,true
suasana,41,true
juna,40,true
bali,40,true
pihak,40,true
pemerintahan,40,true
rakyat,40,true
kalian,40,true
berpikir,40,true
pukul,40,true
peduli,40,true
agak,40,true
baju,40,true
menjawab,40,true
matahari,40,true
mengikuti,40,true
panas,40,true
kalimantan,39,true
presiden,39,true
foto,39,true
sayang,39,true
desa,39,true
pelan,39,true
bumi,39,true
kesempatan,39,true
orangtua,39,true
miskin,39,true
samson,39,true
mengalami,39,true
tenaga,39,true
bergerak,39,true
republik,38,true
akibat,38,true
biasanya,38,true
perempuan,38,true
katanya,38,true
singkat,38,true
kapal,38,true
tertawa,38,true
menimbulkan,38,true
tugas,38,true
pesisir,38,true
kantor,38,true
murid,38,true
pos,38,true
bau,38,true
milik,38,true
benar,38,true
menahan,38,true
tujuh,38,true
masalah,38,true
warna,38,true
perjanjian,37,true
jawaban,37,true
pertanyaan,37,true
sengaja,37,true
tionghoa,37,true
siswa,37,true
ujung,37,true
tangkis,37,true
naik,37,true
ayahnya,37,true
harapan,37,true
belas,37,true
rindu,37,true
kotak,37,true
sinar,37,true
terima,37,true
berdua,37,true
nasib,37,true
sepertinya,37,true
api,37,true
sulawesi,36,true
pemuda,36,true
sebelumnya,36,true
nomor,36,true
terutama,36,true
terdapat,36,true
malah,36,true
menit,36,true
padaku,36,true
tukang,36,true
sesungguhnya,36,true
buaya,36,true
filicium,36,true
yakin,36,true
raja,36,true
berteriak,36,true
asap,36,true
kepulauan,35,true
nasi,35,true
menguasai,35,true
umum,35,true
berakhir,35,true
teman,35,true
allah,35,true
kekuatan,35,true
gerakan,35,true
mengangguk,35,true
sebentar,35,true
mengatakan,35,true
suka,35,true
kalo,35,true
menoleh,35,true
papua,34,true
gita,34,false
juta,34,true
jumlah,34,true
darah,34,true
mencapai,34,true
takut,34,true
mengapa,34,true
siang,34,true
padanya,34,true
khusus,34,true
cahaya,34,true
nilai,34,true
menulis,34,true
karya,34,true
berbicara,34,true
kaya,34,true
kenal,34,true
maluku,33,true
rahedi,33,false
kenaikan,33,true
maryam,33,true
armada,33,true
ekonomi,33,true
hubungan,33,true
bertemu,33,true
bahagia,33,true
tas,33,true
rambut,33,true
misalnya,33,true
mendapatkan,33,true
kuning,33,true
hidupku,33,true
rahasia,33,true
pintar,33,true
pelangi,33,true
sawang,33,true
kepalanya,33,true
warga,33,true
kayu,33,true
mengangkat,33,true
zaman,33,true
sd,33,true
keadaan,33,true
berubah,33,true
maya,32,false
provinsi,32,true
akhir,32,true
mataku,32,true
